ItemID,Difficulty_b,Discrimination_a,Source
Q1,-1.8,1.27,Internal IRT fit (synthetic)
Q2,-1.53,1.27,Internal IRT fit (synthetic)
Q3,-1.26,1.44,Internal IRT fit (synthetic)
Q4,-0.99,1.46,Internal IRT fit (synthetic)
Q5,-0.71,1.17,Internal IRT fit (synthetic)
Q6,-0.44,1.02,Internal IRT fit (synthetic)
Q7,-0.17,0.83,Internal IRT fit (synthetic)
Q8,0.1,0.6,Internal IRT fit (synthetic)
Q9,0.37,0.93,Internal IRT fit (synthetic)
Q10,0.64,1.08,Internal IRT fit (synthetic)
Q11,0.91,1.19,Internal IRT fit (synthetic)
Q12,1.19,1.4,Internal IRT fit (synthetic)
Q13,1.46,1.49,Internal IRT fit (synthetic)
Q14,1.73,1.29,Internal IRT fit (synthetic)
Q15,2.0,1.08,Internal IRT fit (synthetic)
